Trader,HFT,MIX,NON HFT,Sum,type
Adelaide,0.07488175,0.28304854,0.6420697,10,NON HFT
Alana,0.0104375845,0.03211819,0.9574442,37,NON HFT
Alcmene,0.093310535,0.08555767,0.82113177,16,NON HFT
Alice,0.9926269,0.0037239606,0.0036491144,2097,HFT
Alices Sister,0.10189896,0.2159143,0.6821867,183,NON HFT
Angel (Experiment 624),0.028939951,0.047024652,0.9240354,14,NON HFT
Annette,0.0516018,0.7722371,0.17616108,99,MIX
Armoire,0.10200669,0.5928854,0.30510795,163,MIX
Arthur/Wart,0.24187532,0.17261474,0.58550996,45,NON HFT
Axe,0.070489384,0.6399521,0.28955847,32,MIX
Baby Red Bird,0.105347626,0.3989012,0.49575117,289,NON HFT
Backwoods Beagle,0.08122958,0.8443153,0.07445513,1519,MIX
Bacon Beagle,0.023232233,0.031027991,0.94573975,905,NON HFT
Baileywick,0.0054271673,0.98947227,0.0051005865,2120,MIX
Bat Queen,0.042829156,0.29335737,0.6638135,72,NON HFT
Becky,0.023686357,0.076637395,0.89967626,31,NON HFT
Bent-Tail the Coyote,0.8729962,0.07869457,0.048309196,905,HFT
Big Al,0.027679237,0.04813858,0.9241822,79,NON HFT
Big Mama,0.0057172994,0.990464,0.0038187406,2124,MIX
Bill Green,0.017531073,0.9725865,0.009882392,2121,MIX
Black Bart,0.008070082,0.01894844,0.97298145,1797,NON HFT
Bobble,0.06949869,0.20374697,0.7267543,2,NON HFT
Bomber Beagle,0.14170694,0.15640089,0.7018922,26,NON HFT
Bookseller,0.58529073,0.13636895,0.2783403,703,HFT
Boomer,0.0420063,0.122476116,0.8355176,4,NON HFT
Bowler Hat Guy,0.12247866,0.3564745,0.5210469,101,NON HFT
Braddock,0.05113482,0.10850105,0.8403641,1,NON HFT
Brer Bear,0.03484478,0.06829379,0.89686143,37,NON HFT
Brudo Avarius,0.98173267,0.010516232,0.0077510877,2010,HFT
Bruno the Dog,0.014469525,0.020779058,0.9647514,1536,NON HFT
Buck Leatherleaf,0.93821996,0.04355064,0.018229418,2008,HFT
Bucky Oryx-Antlerson,0.015447354,0.053857055,0.9306956,1,NON HFT
Butch the Bulldog,0.021310078,0.96694463,0.011745308,1997,MIX
Butcher Boy,0.009448119,0.020401087,0.97015077,1659,NON HFT
Dallben,0.03415131,0.07667442,0.8891743,7,NON HFT
Danny,0.025133811,0.94449717,0.030369025,1656,MIX
Dennis Avarius,0.06864214,0.111545496,0.81981236,230,NON HFT
Digger the Mole,0.0050986777,0.010129451,0.98477185,1924,NON HFT
Dijon the Thief,0.099710405,0.8159627,0.0843269,519,MIX
Don Karnage,0.99102664,0.00512134,0.0038520256,2051,HFT
Donald Duck,0.8171075,0.07691385,0.10597864,722,HFT
Doug Dalmatian,0.015763303,0.030694023,0.95354265,1634,NON HFT
Dr. Delbert Doppler,0.107101515,0.05208202,0.84081644,29,NON HFT
Dr. Facilier,0.015742565,0.8775431,0.10671434,641,MIX
Dr. Joshua Sweet,0.028705033,0.019882377,0.9514126,1557,NON HFT
Dr. Teeth,0.13311833,0.084868476,0.7820132,38,NON HFT
Duchess,0.0073523535,0.9475302,0.045117456,2113,MIX
Duke of Weselton,0.06865239,0.88864934,0.042698268,2050,MIX
Dylan Dalmatian,0.015946703,0.046952076,0.93710124,66,NON HFT
Edric Blight,0.03758027,0.1024204,0.8599993,58,NON HFT
