Trader,HFT,MIX,NON HFT,Sum,type
Adelaide,0.1492174,0.36227894,0.48850366,10,NON HFT
Alana,0.050089892,0.073900685,0.8760094,37,NON HFT
Alcmene,0.13578779,0.12899545,0.73521674,16,NON HFT
Alice,0.92349964,0.036504995,0.039995335,2097,HFT
Alices Sister,0.14111775,0.24472718,0.61415505,183,NON HFT
Angel (Experiment 624),0.08961515,0.102394536,0.8079903,14,NON HFT
Annette,0.107129276,0.682328,0.21054275,99,MIX
Armoire,0.13665684,0.5447078,0.3186354,163,MIX
Arthur/Wart,0.25061598,0.24951075,0.49987325,45,NON HFT
Axe,0.11231402,0.6080286,0.27965736,32,MIX
Baby Red Bird,0.15558518,0.41027594,0.4341389,289,NON HFT
Backwoods Beagle,0.13829274,0.7344224,0.12728484,1519,MIX
Bacon Beagle,0.073064275,0.07729975,0.84963596,905,NON HFT
Baileywick,0.03938918,0.9229654,0.0376454,2120,MIX
Bat Queen,0.10139223,0.31241915,0.5861886,72,NON HFT
Becky,0.06932914,0.12078828,0.8098826,31,NON HFT
Bent-Tail the Coyote,0.7983016,0.114954755,0.08674369,905,HFT
Big Al,0.07577118,0.100176066,0.82405275,79,NON HFT
Big Mama,0.03872331,0.92552274,0.035753958,2124,MIX
Bill Green,0.06789921,0.8855095,0.046591323,2121,MIX
Black Bart,0.04475999,0.058517873,0.89672214,1797,NON HFT
Bobble,0.102084905,0.29462355,0.6032915,2,NON HFT
Bomber Beagle,0.17557092,0.22049856,0.60393053,26,NON HFT
Bookseller,0.524327,0.17348066,0.30219236,703,HFT
Boomer,0.0908806,0.27956584,0.62955356,4,NON HFT
Bowler Hat Guy,0.15152332,0.35129774,0.49717894,101,NON HFT
Braddock,0.08058946,0.113559924,0.8058507,1,NON HFT
Brer Bear,0.083564565,0.12391246,0.79252297,37,NON HFT
Brudo Avarius,0.90962064,0.04495983,0.045419525,2010,HFT
Bruno the Dog,0.06011786,0.0644765,0.87540567,1536,NON HFT
Buck Leatherleaf,0.8112526,0.12612398,0.06262342,2008,HFT
Bucky Oryx-Antlerson,0.057993278,0.08409317,0.8579135,1,NON HFT
Butch the Bulldog,0.07244163,0.8737841,0.053774238,1997,MIX
Butcher Boy,0.049275547,0.05960477,0.89111966,1659,NON HFT
Dallben,0.07641398,0.11761114,0.8059749,7,NON HFT
Danny,0.08066925,0.8341535,0.08517727,1656,MIX
Dennis Avarius,0.11476704,0.16285871,0.72237426,230,NON HFT
Digger the Mole,0.039517887,0.0445789,0.9159032,1924,NON HFT
Dijon the Thief,0.14671767,0.71789616,0.1353862,519,MIX
Don Karnage,0.9207659,0.038436804,0.04079733,2051,HFT
Donald Duck,0.72216517,0.13410504,0.1437298,722,HFT
Doug Dalmatian,0.05964859,0.07647726,0.86387414,1634,NON HFT
Dr. Delbert Doppler,0.13878928,0.0955626,0.7656481,29,NON HFT
Dr. Facilier,0.056508344,0.82152957,0.12196209,641,MIX
Dr. Joshua Sweet,0.07556269,0.06947259,0.85496473,1557,NON HFT
Dr. Teeth,0.18198271,0.14748141,0.67053586,38,NON HFT
Duchess,0.049045045,0.87019575,0.080759235,2113,MIX
Duke of Weselton,0.11028446,0.8070799,0.08263565,2050,MIX
Dylan Dalmatian,0.05736838,0.088532194,0.85409945,66,NON HFT
Edric Blight,0.08415951,0.15779983,0.75804067,58,NON HFT
Elliott,0.09003286,0.1391633,0.77080387,42,NON HFT
Emperor Belos,0.05480779,0.062983386,0.8822088,1492,NON HFT
Evinrude,0.83212733,0.08296795,0.0849047,2080,HFT
Fairy Mary,0.103420176,0.16141355,0.7351663,1,NON HFT
Fidget,0.084662445,0.8321544,0.083183154,2121,MIX
Flash,0.08402792,0.73147684,0.18449523,2045,MIX
Flora,0.05583776,0.8689637,0.07519854,1824,MIX
Flounder,0.088878095,0.818425,0.09269688,2015,MIX
Flunkey the Baboon,0.19835867,0.32153782,0.48010346,1,NON HFT
Francis,0.83403945,0.1093489,0.056611642,1519,HFT
Friend Owl,0.14469205,0.2721727,0.5831353,372,NON HFT
Mad Hatter,0.6463324,0.25339222,0.10027542,1230,HFT
Madame Medusa,0.082820304,0.86348766,0.053692054,1610,MIX
Maddie Flour,0.08327347,0.12221133,0.7945152,10,NON HFT
Magic Carpet,0.14026655,0.10062251,0.7591109,66,NON HFT
Major the Horse,0.110826306,0.356261,0.5329127,13,NON HFT
Marahute,0.9177356,0.041087728,0.04117671,1187,HFT
March Hare,0.083784446,0.30460435,0.6116112,299,NON HFT
Marlon the Alligator,0.076105505,0.09469177,0.8292027,32,NON HFT
Mary Darling,0.110458195,0.23132914,0.65821266,17,NON HFT
Mattholomule,0.09122225,0.0992995,0.8094782,171,NON HFT
Maui,0.49204537,0.24521543,0.26273915,1,HFT
Max the Sheepdog,0.10221152,0.8386542,0.05913425,2113,MIX
Megavolt,0.058001943,0.8924082,0.049589854,2108,MIX
Melpomene,0.9219971,0.03900116,0.039001785,710,HFT
Merlock the Magician,0.15162894,0.18956323,0.6588078,292,NON HFT
Mike the Microphone,0.33730423,0.4210068,0.24168897,50,MIX
Miss Bianca,0.09102368,0.16038762,0.7485887,25,NON HFT
Miss Nettle,0.056901406,0.08300433,0.86009425,905,NON HFT
Moana,0.064044416,0.08808956,0.847866,32,NON HFT
Monstro,0.1247287,0.7145603,0.160711,4,MIX
Morgana,0.08888708,0.80924,0.101872936,374,MIX
The Doorknob,0.69681144,0.1990529,0.104135685,152,HFT
The Doorman,0.9046124,0.048999254,0.04638832,2100,HFT
The Magic Mirror,0.04672591,0.9112434,0.042030733,2116,MIX
